Rank,PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
15,Boris Diaw,San,PF,31,23,26.1,54.1,16.3,0.138,48,0.688,115,0.539,45,0.4,0.582,9.2,4.9,10.9,3.4,18.8,0.61,0.13,8.2
16,Bradley Beal,Was,SG,20,11,41.4,85.4,23,0.104,49,0.796,124,0.427,53,0.415,0.531,19.2,4.9,6.9,4.5,20.1,1.64,0.64,7.3
17,Brandan Wright,Dal,C,26,6,14.8,30.9,11.5,0.088,6,0.5,18,0.833,0,0,0.799,5.5,2,7.9,1.3,13.9,0.33,1,6.6
18,C.J. Watson,Ind,PG,29,19,17.8,37.1,16.8,0.12,28,0.607,50,0.42,40,0.4,0.523,5.6,2.1,7.2,0.9,9,0.84,0.05,4.9
19,Carlos Boozer,Chi,PF,32,5,24,49.1,23.2,0.121,9,0.889,47,0.426,0,0,0.471,9.6,7.8,18.8,1,8.1,0.2,0,7
20,Caron Butler,Okc,SF,33,18,23,46.6,14.4,0.084,28,0.786,49,0.286,59,0.356,0.47,6.3,3.2,7.9,0.8,5.5,0.28,0.11,4.4
21,Chandler Parsons,Hou,SF,25,6,41.5,82.2,19.9,0.043,15,0.733,69,0.478,36,0.361,0.52,19.3,6.8,9.1,2.3,9,0.67,0.33,6.5
22,Chris Andersen,Mia,C,35,18,17.4,36.3,13.5,0.109,38,0.684,56,0.589,1,0,0.624,5.1,5.9,22.8,0.3,2.5,0.28,1,4.8
23,Chris Bosh,Mia,C,29,20,34.1,71,19.8,0.053,48,0.75,155,0.555,74,0.405,0.596,14.9,5.6,11,1.1,5.4,0.85,1,5.3
24,Chris Copeland,Ind,SF,29,12,6.6,13.8,22.7,0.135,9,0.667,12,0.5,16,0.375,0.563,3,0.4,3.8,0.1,2.3,0.25,0.25,3
25,Chris Douglas-Roberts,Cha,SF,27,4,17.2,35.8,18.2,0.153,14,0.857,8,0.875,8,0.5,0.857,9.5,2,7.3,0.5,5.4,0,0,4.9
26,Chris Paul,Lac,PG,28,13,36.1,75.3,24,0.15,53,0.774,127,0.472,70,0.457,0.583,19.8,4.2,6.7,10.4,46,2.85,0,10.6
27,Chuck Hayes,Tor,C,30,5,7.3,15.2,12.7,0.101,2,1,8,0.25,0,0,0.338,1.2,1.6,13.3,0.4,8.7,0.6,0,5
28,Cody Zeller,Cha,C,21,4,13.1,27.3,11.6,0.157,4,0.5,9,0.333,0,0,0.372,2,2.3,10.8,0.5,5.9,0,0.75,4
29,Cory Joseph,San,SG,22,17,5,10.3,25.7,0.085,18,0.778,32,0.531,3,0,0.559,2.8,0.5,6.2,0.5,17,0.18,0,7.1
30,Courtney Lee,Mem,SG,28,7,31.8,62.5,15.1,0.082,18,0.778,40,0.475,19,0.316,0.523,10,2,3.5,1.7,8.9,0.71,0.29,4.1
